,troll,label_from_liar_liar_copy
0,0.6314232568455971,false
1,0.6643334988565587,half-true
2,0.6316052614279151,mostly-true
3,0.6460702756216818,false
4,0.6464261918314382,half-true
5,0.6922680926134352,true
6,0.6208011250409244,barely-true
7,0.6702031578125224,half-true
8,0.6716473818535611,half-true
9,0.636545609989943,mostly-true
10,0.6739745134350764,mostly-true
11,0.6245516703004867,half-true
12,0.6237049917731041,false
13,0.6151861919604918,mostly-true
14,0.6580228265441821,barely-true
15,0.73274483905501,half-true
16,0.6927991527320214,true
17,0.6279358931882743,barely-true
18,0.6801432611182466,half-true
19,0.5972111632774424,mostly-true
20,0.6421859350916973,false
21,0.6436872913135794,mostly-true
22,0.6662673055143998,mostly-true
23,0.6646325388137689,half-true
24,0.5841766319895457,barely-true
25,0.6093971693782161,false
26,0.668514002226801,mostly-true
27,0.6620333805558876,half-true
28,0.6737733719112834,false
29,0.669481566723488,mostly-true
30,0.5855235861653458,true
31,0.6440543989016828,barely-true
32,0.6722669676898226,false
33,0.6699888090645842,mostly-true
34,0.6379302979894392,mostly-true
35,0.6818882204194281,true
36,0.607457696255922,true
37,0.7223446896707771,true
38,0.6644747798725816,pants-fire
39,0.6966834906783711,true
40,0.6184444051319747,false
41,0.6255629308291974,half-true
42,0.641671073381578,pants-fire
43,0.6423756828065172,pants-fire
44,0.6792225836918682,false
45,0.7278044660055488,half-true
46,0.6391220163621729,pants-fire
47,0.6077363592406925,false
48,0.6486803965615457,pants-fire
49,0.6407518614097414,true
50,0.6622295208434157,barely-true
51,0.6274391608438655,barely-true
52,0.6553943744649017,false
53,0.6957442716528013,true
54,0.6376416446241214,barely-true
55,0.6427186820240347,half-true
56,0.7120781217786192,half-true
57,0.6703344297128372,barely-true
58,0.6405307236817882,false
59,0.6859578228298058,mostly-true
60,0.6041453961084235,false
61,0.6492348299040894,mostly-true
62,0.6581188706090373,true
63,0.715509200489369,mostly-true
64,0.586893937297975,false
65,0.6721450758519559,pants-fire
66,0.5993605332585333,true
67,0.6305758406356224,false
68,0.6415047208710678,barely-true
69,0.6316054451910301,barely-true
70,0.6298809603034332,true
71,0.6334040469067321,barely-true
72,0.6578384118094649,mostly-true
73,0.6268540424865825,mostly-true
74,0.6285463654753617,mostly-true
75,0.6657777214605104,true
76,0.6648391226952899,false
77,0.6354137723988127,barely-true
78,0.6182911611289732,false
79,0.6996528774770787,half-true
80,0.6250321357216471,true
81,0.6377300537774971,half-true
82,0.637377218435904,false
83,0.6817647132375788,false
84,0.6052070756818606,true
85,0.635436502652238,half-true
86,0.6367141142001796,mostly-true
87,0.6644723625069888,mostly-true
88,0.6092972490135731,barely-true
89,0.6233106863114144,false
90,0.619975803499445,false
91,0.5853434067780484,true
92,0.6390490881144932,mostly-true
93,0.6237730092130037,half-true
94,0.6480831107782247,barely-true
95,0.5870908483549878,barely-true
96,0.6228981230592794,true
97,0.6192702223014467,mostly-true
98,0.670029363007639,true
99,0.6450810937124067,mostly-true
100,0.639017888429629,false
101,0.7163881438443316,pants-fire
102,0.6302399975024625,mostly-true
103,0.684626651185234,mostly-true
104,0.6318991096321117,false
105,0.6303976293174182,true
106,0.7114141700042821,half-true
107,0.5991600347107231,true
108,0.6376715253258459,half-true
109,0.7121732571307208,false
110,0.6611771122011422,mostly-true
111,0.7026385984493017,half-true
112,0.628093125198998,half-true
113,0.6369012283091204,barely-true
114,0.6385805395779904,true
115,0.6614289359165146,mostly-true
116,0.5920693009086863,mostly-true
117,0.6603776379200438,pants-fire
118,0.6208371729116017,pants-fire
119,0.6451473557001827,false
120,0.6571622588025573,mostly-true
121,0.6730743893786446,mostly-true
122,0.6116401064492802,true
123,0.580488003644515,mostly-true
124,0.6502190039763737,mostly-true
125,0.6546329296267219,true
126,0.6468052021788957,mostly-true
127,0.6158739278731097,false
128,0.6070062316915489,pants-fire
129,0.66537142683225,half-true
130,0.6041055685623362,mostly-true
131,0.6403772921869688,mostly-true
132,0.6525599646350987,mostly-true
133,0.6292767575966622,barely-true
134,0.6416793471523755,true
135,0.6136635535251516,false
136,0.6293097852385091,true
137,0.665416609833047,pants-fire
138,0.6463171528438171,barely-true
139,0.6030685007219814,mostly-true
140,0.623551451198606,false
141,0.6697197346658847,barely-true
142,0.6474998010725576,mostly-true
143,0.6436008737723163,mostly-true
144,0.6008314808717637,half-true
145,0.6093721086569418,true
146,0.6362496600132246,false
147,0.581517280633738,half-true
148,0.6298579527765653,false
149,0.655442658417531,barely-true
150,0.6220392980255285,mostly-true
151,0.6028784616284569,barely-true
152,0.6749206013891527,false
153,0.6213002483951096,half-true
154,0.6610103234894057,pants-fire
155,0.6485692265803338,true
156,0.596379367744884,false
157,0.6261006153944585,half-true
158,0.6803719601913137,half-true
159,0.6319982968199374,barely-true
160,0.6468479350742518,barely-true
161,0.6379127521283569,barely-true
162,0.6458972350529562,half-true
163,0.6997507627753672,half-true
164,0.6308736142316156,false
165,0.5985200684768697,barely-true
166,0.6904196098862438,false
167,0.6903649123172182,pants-fire
168,0.6409247645284483,mostly-true
169,0.6265792596938625,half-true
170,0.628852974489685,true
171,0.6483200446041644,half-true
172,0.6462670303465211,half-true
173,0.6496247837153015,mostly-true
174,0.699796090039329,half-true
175,0.6531704425772342,false
176,0.6583917570936014,mostly-true
177,0.6311888146989856,half-true
178,0.6574097220598482,true
179,0.6258912431402759,true
180,0.6167330791826001,true
181,0.6680752669361193,true
182,0.648528599744179,half-true
183,0.6461772916905546,half-true
184,0.6331332086436984,mostly-true
185,0.6611384702483417,false
186,0.6283845220814499,half-true
187,0.7134559975892829,half-true
188,0.6610612555194566,mostly-true
189,0.6656454187658887,false
190,0.6386440055454468,mostly-true
191,0.6911009302362389,mostly-true
192,0.6835781403159618,pants-fire
193,0.7148568173182184,half-true
194,0.6334889584098563,true
195,0.6440726793460441,mostly-true
196,0.6678844243514221,false
197,0.6302495047226577,false
198,0.6321869555768586,half-true
199,0.6178894664438572,pants-fire
200,0.6403779136186336,mostly-true
201,0.6591164103593007,barely-true
202,0.6269163844441227,false
203,0.6810917330110803,barely-true
204,0.6256074835889127,false
205,0.6126096199648486,barely-true
206,0.6478956376561198,false
207,0.6275583964325767,false
208,0.6350476794502851,false
209,0.6259914094775397,true
210,0.677677753797973,true
211,0.6218456850661971,false
212,0.6020756834962023,true
213,0.6731734771008999,mostly-true
214,0.6080802902218294,barely-true
215,0.6784238531580221,true
216,0.6452348566946163,true
217,0.647654918922254,false
218,0.6111846904228554,half-true
219,0.6303341668231917,half-true
220,0.7032944499763367,mostly-true
221,0.6773191682372446,half-true
222,0.5915139157612898,true
223,0.689919565343345,barely-true
224,0.6578565874851172,mostly-true
225,0.6615308389547371,true
226,0.6466911778460388,true
227,0.6447871476378499,barely-true
228,0.6828775685515864,half-true
229,0.6114114640859954,half-true
230,0.6453605891145612,mostly-true
231,0.6561701054139292,half-true
232,0.6083755861860257,mostly-true
233,0.6441166119733975,mostly-true
234,0.6241683404663582,half-true
235,0.6067239932022509,pants-fire
236,0.6866483880357928,mostly-true
237,0.6132700707592923,barely-true
