,hate_speech_confidence,offsensive_speech_confidence,clean_speech_confidence,copy_of_fake_label_from_liar_liar
0,1.679666539189384e-08,0.25859686732292175,0.7414031624794006,0
1,6.592087986589945e-10,0.6198110580444336,0.3801890015602112,1
2,4.6500322241627146e-06,0.33510488271713257,0.664890468120575,1
3,3.1139428813276027e-09,0.6618247032165527,0.33817529678344727,0
4,0.0001312405220232904,0.054102517664432526,0.945766270160675,1
5,4.7653704306161934e-14,0.8680564761161804,0.13194355368614197,1
6,5.897459232073743e-06,0.1647767722606659,0.8352173566818237,1
7,2.296930549407217e-13,0.9099141955375671,0.09008584171533585,1
8,2.9069701668049674e-07,0.11953211575746536,0.8804676532745361,1
9,7.305642202304341e-11,0.13845780491828918,0.8615421652793884,1
10,5.153922288947399e-10,0.7417351603507996,0.25826478004455566,1
11,2.0470973804975756e-09,0.11694357544183731,0.8830564618110657,1
12,1.0793343996340354e-09,0.296829491853714,0.7031705379486084,0
13,0.00039218299207277596,0.7940077781677246,0.2056000977754593,1
14,3.265338932578743e-08,0.4321553409099579,0.567844569683075,1
15,1.3277422494795132e-09,0.00884216371923685,0.9911578297615051,1
16,1.3850518953972824e-08,0.17359082400798798,0.826409101486206,1
17,1.8654628064496137e-08,0.11561321467161179,0.8843867182731628,1
18,2.7995170417960402e-11,0.3227301239967346,0.6772698760032654,1
19,8.093695100797049e-07,0.32569620013237,0.6743029952049255,1
20,6.746813596691936e-08,0.07984410226345062,0.9201558232307434,0
21,9.479188634031743e-08,0.25679200887680054,0.7432078719139099,1
22,7.94510526702652e-07,0.18328560888767242,0.8167136311531067,1
23,1.3696947742669607e-10,0.5651625990867615,0.4348374605178833,1
24,0.002729897852987051,0.23019908368587494,0.7670710682868958,1
25,0.0033050859346985817,0.04814853519201279,0.9485463500022888,0
26,6.771386562576254e-09,0.06034840643405914,0.939651608467102,1
27,2.427662337822767e-08,0.1321086287498474,0.8678913116455078,1
28,4.950512811774388e-05,0.758033037185669,0.2419174611568451,0
29,3.863867823383771e-05,0.4437410831451416,0.5562203526496887,1
30,2.27610894398822e-06,0.2896279990673065,0.7103697061538696,1
31,1.5032670204126464e-12,0.7980946898460388,0.20190533995628357,1
32,2.3339232022717704e-12,0.9460188150405884,0.05398118123412132,0
33,6.138318325854542e-11,0.768049955368042,0.23195002973079681,1
34,1.3737508197664283e-05,0.5035699009895325,0.4964163601398468,1
35,1.9317870914026258e-10,0.9569620490074158,0.04303791746497154,1
36,5.861409690943731e-10,0.7584004402160645,0.24159954488277435,1
37,2.010300021067224e-13,0.6015080809593201,0.3984919488430023,1
38,1.103131275215219e-08,0.05433901026844978,0.9456610083580017,1
39,8.741277701673766e-10,0.5565780997276306,0.4434219002723694,1
40,8.901148047801843e-14,0.9866955280303955,0.013304474763572216,0
41,4.3077035272176545e-09,0.775143563747406,0.22485646605491638,1
42,9.616424989644656e-08,0.32670214772224426,0.6732977628707886,1
43,3.2825633411448507e-07,0.46800696849823,0.5319927334785461,1
44,1.6254450042885171e-12,0.7997210621833801,0.20027892291545868,0
45,1.2858140507887583e-07,0.29940202832221985,0.7005978226661682,1
46,7.930372021291987e-07,0.5636771321296692,0.43632200360298157,1
47,5.464390596898738e-06,0.1993754357099533,0.8006190657615662,0
48,4.704435452307365e-11,0.7081748247146606,0.29182514548301697,1
49,1.3738605275648297e-06,0.13320715725421906,0.8667914271354675,1
50,1.451282873716174e-14,0.9911543130874634,0.008845712058246136,1
51,1.456007368005885e-07,0.938359797000885,0.061640143394470215,1
52,3.7713869005528977e-06,0.07555316388607025,0.9244430661201477,0
53,2.8926177266316725e-15,0.8396798372268677,0.1603202074766159,1
54,1.9396363626356106e-08,0.6509472727775574,0.3490527272224426,1
55,0.00012534674897324294,0.11641377955675125,0.8834609389305115,1
56,3.010667344767459e-13,0.6959052085876465,0.30409473180770874,1
57,1.2495322554428867e-09,0.9290898442268372,0.07091020792722702,1
58,7.294261740753427e-05,0.11605942249298096,0.883867621421814,0
59,5.1958917168803964e-08,0.17686718702316284,0.8231326937675476,1
60,6.183474852150539e-07,0.1413802206516266,0.8586191534996033,0
61,2.7643500288832e-05,0.3541412353515625,0.6458311080932617,1
62,7.85688047955091e-09,0.9001124501228333,0.09988752752542496,1
63,3.78114535237728e-08,0.05524418503046036,0.9447557330131531,1
64,9.939465235220268e-05,0.019284099340438843,0.9806164503097534,0
65,1.6531726942048408e-05,0.11328113079071045,0.886702299118042,1
66,2.818384761682502e-11,0.6057320833206177,0.3942679166793823,1
67,4.060201619360271e-10,0.7641456127166748,0.235854372382164,0
68,2.2645005515187222e-07,0.10331494361162186,0.8966847658157349,1
69,1.7968394558920409e-06,0.11520876735448837,0.8847894072532654,1
70,1.808686533877335e-06,0.07745357602834702,0.9225446581840515,1
71,4.568356526402084e-10,0.0890369564294815,0.9109630584716797,1
72,4.6186983126972336e-08,0.07692936807870865,0.9230706095695496,1
73,1.7687422371182038e-07,0.015648184344172478,0.984351634979248,1
74,4.464405733983767e-09,0.643388569355011,0.35661137104034424,1
75,1.2560603668276826e-09,0.5650594234466553,0.43494051694869995,1
76,6.62529346300289e-05,0.3824072480201721,0.6175265312194824,0
77,0.0001648398902034387,0.3630150258541107,0.6368200778961182,1
78,4.543045495353226e-09,0.32387131452560425,0.6761287450790405,0
79,8.721799671373986e-11,0.5988990068435669,0.4011009633541107,1
80,1.9315205008751946e-06,0.0403919592499733,0.9596061110496521,1
81,7.121406815713271e-05,0.2113601714372635,0.7885686755180359,1
82,1.9161023878666583e-09,0.3580118417739868,0.641988217830658,0
83,1.511766001272008e-08,0.41737106442451477,0.5826289057731628,0
84,3.682287683659524e-07,0.8708004355430603,0.12919916212558746,1
85,1.2191140740469564e-05,0.04567630961537361,0.9543114900588989,1
86,9.876626183569215e-10,0.32129308581352234,0.6787068843841553,1
87,4.0657575084424025e-08,0.010396769270300865,0.9896032214164734,1
88,2.5171928985656677e-09,0.14248549938201904,0.857514500617981,1
89,5.172055352886673e-06,0.550128698348999,0.4498661458492279,0
90,6.818590918555856e-05,0.17569144070148468,0.8242404460906982,0
91,0.17816445231437683,0.4774467647075653,0.34438878297805786,1
92,6.861467340968375e-07,0.5875908732414246,0.41240838170051575,1
93,7.357697229259941e-10,0.8887771964073181,0.1112227663397789,1
94,8.74951365403831e-06,0.18305142223834991,0.8169398307800293,1
95,9.888510987821064e-08,0.6078274846076965,0.3921723961830139,1
96,4.520034337929246e-07,0.8289082646369934,0.17109127342700958,1
97,2.787850889539572e-14,0.686305582523346,0.31369441747665405,1
98,6.7029835015830486e-09,0.3132689297199249,0.6867310404777527,1
99,7.572345905324581e-16,0.7028030753135681,0.29719701409339905,1
100,1.741981992681163e-12,0.7872560620307922,0.212743878364563,0
101,4.196014369295398e-11,0.3652460277080536,0.634753942489624,1
102,5.765816624148101e-08,0.19309274852275848,0.8069071769714355,1
103,2.589040093425865e-08,0.12620492279529572,0.8737950325012207,1
104,3.2099041306909992e-12,0.772695004940033,0.22730498015880585,0
105,6.338154435070464e-06,0.2348545491695404,0.765139102935791,1
106,2.588058691799233e-07,0.438576877117157,0.5614228248596191,1
107,0.00027199252508580685,0.3686768412590027,0.631051242351532,1
108,2.485792405249043e-10,0.09466944634914398,0.9053305387496948,1
109,6.432383514720641e-08,0.00590463588014245,0.9940953254699707,0
110,3.673819648497556e-08,0.0929054468870163,0.9070945382118225,1
111,8.942560580926795e-11,0.18426798284053802,0.8157320022583008,1
112,7.868717830095129e-12,0.9133827090263367,0.08661727607250214,1
113,1.2440758609955083e-06,0.7334563136100769,0.2665424644947052,1
114,2.6261266157234786e-06,0.5404450297355652,0.4595523178577423,1
115,3.624516830313951e-05,0.6430062651634216,0.35695743560791016,1
116,4.95131814659544e-07,0.09325647354125977,0.906743049621582,1
117,1.0275755812472198e-05,0.6121215224266052,0.38786810636520386,1
118,1.6756319665134356e-09,0.9769874811172485,0.023012490943074226,1
119,7.638191590331189e-08,0.17395232617855072,0.8260475397109985,0
120,4.6116022645037447e-07,0.021677331998944283,0.9783222079277039,1
121,6.513768653348961e-07,0.34192946553230286,0.6580697894096375,1
122,8.932671491379551e-09,0.8871853351593018,0.11281462758779526,1
123,1.4555078564626456e-07,0.6657522916793823,0.33424749970436096,1
124,2.865894366266275e-08,0.7709980607032776,0.22900192439556122,1
125,1.3423652944766218e-07,0.03696078434586525,0.9630391001701355,1
126,1.1708201697047116e-07,0.3482535481452942,0.651746392250061,1
127,1.6970265903637483e-07,0.471122682094574,0.5288771986961365,0
